Id,Name,2020-07-06 17:06:45,2020-07-06 17:23:10,2020-07-06 19:38:44,2020-07-07 09:17:01,2020-07-07 10:56:10,2020-07-07 11:46:13,2020-07-07 12:18:40,2020-07-08 08:48:47,2020-07-08 11:16:27,2020-07-08 12:06:43,2020-07-09 08:54:12,2020-07-10 09:00:14,2020-07-10 16:54:38,2020-07-11 08:46:27,2020-07-11 09:16:14,2020-07-11 09:47:45,2020-07-11 10:18:31,2020-07-11 10:35:09,2020-07-11 12:15:09,2020-07-11 21:53:03,2020-07-12 09:33:14,2020-07-13 09:32:57,2020-07-14 09:32:20,2020-07-15 09:32:37,2020-07-16 09:32:30,2020-07-17 09:32:49,2020-07-18 09:32:37,2020-07-19 09:34:47,2020-07-20 09:33:56,2020-07-21 09:33:26,2020-07-22 09:33:16,2020-07-23 09:33:34,2020-07-24 09:34:13,2020-07-25 09:34:33,2020-07-26 09:35:42,2020-07-27 09:35:09,2020-07-28 09:34:45,2020-07-29 09:33:47,2020-07-30 09:35:06,2020-07-31 09:36:01,2020-08-01 09:36:35,2020-08-02 09:37:19,2020-08-03 09:36:38,2020-08-04 09:36:40,2020-08-05 09:36:42,2020-08-06 09:36:40,2020-08-07 09:37:50,2020-08-08 09:37:23,2020-08-09 09:39:06,2020-08-10 09:38:38,2020-08-11 09:38:11,2020-08-12 09:37:53,2020-08-13 09:38:07,2020-08-14 09:38:32,2020-08-15 09:38:25,2020-08-16 09:40:23,2020-08-17 09:39:45,2020-08-18 09:39:02,2020-08-19 09:39:31,2020-08-20 09:39:24,2020-08-21 09:40:07,2020-08-22 09:40:23,2020-08-23 09:41:55,2020-08-24 09:41:06,2020-08-25 09:41:00,2020-08-26 09:40:43,2020-08-27 09:41:16,2020-08-28 09:45:26,2020-08-29 09:25:59,2020-08-30 09:29:42,2020-08-31 09:21:49,2020-09-01 09:46:03,2020-09-02 09:41:18,2020-09-03 09:44:35,2020-09-04 09:45:25,2020-09-05 10:21:02
3202784,AMD A10 7870K (고다바리),0,0,0,0,0,0,0,0,"210,990","210,990","210,990","210,990","210,990","210,990",0,0,0,0,"210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990"
3412430,AMD A8 7670K (고다바리),0,0,0,0,0,0,0,0,"100,000","100,000","100,000","100,000","100,000","100,000",0,0,0,0,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
9736854,AMD EPYC 7232P (롬),0,0,0,0,0,0,0,0,"840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000"
9736842,AMD EPYC 7252 (롬),0,0,0,0,0,0,0,0,"948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970"
9736833,AMD EPYC 7262 (롬),0,0,0,0,0,0,0,0,"1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000"
9736800,AMD EPYC 7272 (롬),0,0,0,0,0,0,0,0,"1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730"
9736794,AMD EPYC 7282 (롬),0,0,0,0,0,0,0,0,"1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120"
9736752,AMD EPYC 7302 (롬),0,0,0,0,0,0,0,0,"1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000"
9736764,AMD EPYC 7302P (롬),0,0,0,0,0,0,0,0,"1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810"
9736716,AMD EPYC 7352 (롬),0,0,0,0,0,0,0,0,"2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000"
