Id,Name,2020-07-06 17:07:01,2020-07-06 17:23:26,2020-07-06 19:38:59,2020-07-07 09:17:21,2020-07-07 10:56:27,2020-07-07 11:46:29,2020-07-07 12:18:56,2020-07-08 08:49:04,2020-07-08 11:17:01,2020-07-08 12:07:14,2020-07-09 08:54:44,2020-07-10 09:00:47,2020-07-11 08:47:00,2020-07-11 09:16:35,2020-07-11 09:48:06,2020-07-11 10:19:04,2020-07-11 10:35:30,2020-07-11 12:15:41,2020-07-11 21:53:35,2020-07-12 09:33:46,2020-07-13 09:33:29,2020-07-14 09:32:52,2020-07-15 09:33:10,2020-07-16 09:33:02
10831551,AFOX 지포스 G210 D3 1GB LP,"28,900","28,900","28,900","28,900","28,900","28,900","28,900","28,900","28,900","28,900","28,900","28,900","28,900",0,0,0,0,"28,900","28,900","28,900","28,900","28,900","28,900","28,900"
9317550,AFOX 지포스 G210 D3 512MB LP,"26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000",0,0,0,0,"26,000","26,000","26,000","26,000","26,000","26,000","26,000"
9928446,AFOX 지포스 GT1030 D5 2GB LP AXLE VISION,"82,600","82,600","82,600","82,600","82,600","82,600","82,600","82,600","82,600","82,600","82,600","82,600","82,600",0,0,0,0,"82,600","82,600","82,600","82,600","82,600","82,600","82,290"
9893691,AFOX 지포스 GT1030 D5 2GB LP 디앤디컴,"85,900","85,900","85,900","85,900","85,900","85,900","85,900","85,900","85,900","85,900","85,900","85,900","85,900",0,0,0,0,"85,900","85,900","85,900","85,900","85,900","85,900","85,900"
8926502,AFOX 지포스 GT710 D3 1GB LP,"38,700","38,700","38,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38,700"
5374221,AFOX 지포스 GT710 OZ D3 1GB LP 무소음 디앤디컴,"39,200","39,200","39,200","39,200","39,200","39,200","39,200","39,200","39,200","39,200","39,200","39,200","39,200",0,0,0,0,"39,200","39,200","39,200","39,200","39,200","39,200","39,200"
10847031,AFOX 지포스 GT730 D3 1GB LP,"49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500","49,500"
10889049,AFOX 지포스 GT730 D3 1GB LP 무소음,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","49,990","49,830"
10847121,AFOX 지포스 GT730 D3 2GB LP,"57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800","57,800"
8502357,AFOX 지포스 GT730 D5 1GB LP,"51,500","51,500","51,500","51,500","51,500","51,500","51,500","51,500","51,500","51,500","51,500","51,500","51,500",0,0,0,0,"51,500","51,500","51,500","51,500","51,500","51,500","51,500"
6288958,AFOX 지포스 GT730 L3 D5 1GB LP 디앤디컴,"66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000",0,0,0,0,"66,000","66,000","66,000","66,000","66,000","66,000","66,000"
7505608,AFOX 지포스 GT730 L7 D3 1GB LP 디앤디컴,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000",0,0,0,0,"50,000","50,000","50,000","50,000","50,000","50,000","50,000"
10419549,AFOX 지포스 GTX 1650 D5 4GB DUAL,"159,900","159,900","159,900","159,900","159,900","159,900","159,900","159,900","159,900","159,900","159,900","159,900","159,900",0,0,0,0,"159,900","159,900","159,900","159,900","159,900","159,900","159,900"
11554118,AFOX 지포스 GTX 1650 SUPER D6 4GB,"196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","196,000","195,150","193,890","194,000","194,000"
10883784,AFOX 지포스 GTX 1650 V2 D5 4GB,"171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000","171,000"
9376305,AFOX 지포스 GTX 1660 D5 6GB DUAL,"233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000",0,0,0,0,"233,000","233,000","233,000","233,000","232,170","231,120","229,860"
