Id,Name,2024-06-01 10:24:52,2024-06-02 10:25:00,2024-06-03 10:21:55,2024-06-04 10:21:43,2024-06-05 10:20:38,2024-06-06 10:20:30,2024-06-07 10:23:11,2024-06-09 10:27:54,2024-06-10 10:23:38,2024-06-11 10:22:42,2024-06-12 10:22:18,2024-06-13 10:21:31,2024-06-14 10:21:58,2024-06-15 10:21:41,2024-06-16 10:27:50
11830084,ADATA FALCON M.2 NVMe,"_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_76원/1GB_75,780|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600","_1TB_84원/1GB_83,810|_512GB_253원/1GB_129,600",0,0
11830057,ADATA FALCON M.2 NVMe,0,0,0,0,0,0,0,0,0,0,0,0,0,"253원/1GB_512GB_129,600","253원/1GB_512GB_129,600"
18510746,ADATA IM2P33F3A M.2 2230 NVMe 벌크,"98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000","98원/1GB_256GB_25,000",0,0,0,0,0
47033771,ADATA ISSS316,"_1TB_322원/1GB_321,760|_512GB_372원/1GB_190,250|256GB_401원/1GB_102,710|128GB_521원/1GB_66,720","_1TB_322원/1GB_321,650|_512GB_372원/1GB_190,250|256GB_401원/1GB_102,710|128GB_521원/1GB_66,700","_1TB_322원/1GB_321,540|_512GB_372원/1GB_190,250|256GB_401원/1GB_102,710|128GB_520원/1GB_66,590","_1TB_322원/1GB_321,520|_512GB_372원/1GB_190,250|256GB_401원/1GB_102,710|128GB_520원/1GB_66,560","_1TB_322원/1GB_321,500|_512GB_372원/1GB_190,250|256GB_401원/1GB_102,710|128GB_520원/1GB_66,500","_1TB_321원/1GB_321,420|_512GB_372원/1GB_190,250|256GB_401원/1GB_102,710|128GB_519원/1GB_66,410","_1TB_321원/1GB_321,420|512GB_377원/1GB_193,230|256GB_401원/1GB_102,710|_128GB_519원/1GB_66,410","_1TB_321원/1GB_321,310|512GB_377원/1GB_193,230|256GB_401원/1GB_102,710|_128GB_518원/1GB_66,300","_1TB_321원/1GB_321,210|512GB_377원/1GB_193,230|256GB_401원/1GB_102,710|_128GB_517원/1GB_66,180","_1TB_321원/1GB_321,200|512GB_377원/1GB_193,230|256GB_401원/1GB_102,710|_128GB_517원/1GB_66,170","_1TB_321원/1GB_321,110|512GB_377원/1GB_193,230|256GB_401원/1GB_102,710|_128GB_517원/1GB_66,160","_1TB_321원/1GB_321,090|512GB_377원/1GB_193,230|256GB_401원/1GB_102,710|_128GB_517원/1GB_66,150","1TB_321원/1GB_321,030|512GB_377원/1GB_193,230|_256GB_401원/1GB_102,710|_128GB_517원/1GB_66,140","1TB_321원/1GB_321,020|512GB_377원/1GB_193,230|_256GB_401원/1GB_102,710|_128GB_517원/1GB_66,130","1TB_321원/1GB_321,010|512GB_377원/1GB_193,230|_256GB_401원/1GB_102,710|_128GB_516원/1GB_66,040"
17287469,ADATA LEGEND 710 M.2 NVMe,"_1TB_97원/1GB_97,270|512GB_112원/1GB_57,220|_256GB_150원/1GB_38,340","_1TB_97원/1GB_97,160|512GB_112원/1GB_57,220|_256GB_150원/1GB_38,340","_1TB_97원/1GB_97,060|512GB_112원/1GB_57,220|_256GB_150원/1GB_38,340","_1TB_96원/1GB_96,270|512GB_112원/1GB_57,220|_256GB_150원/1GB_38,340","_1TB_96원/1GB_96,220|512GB_112원/1GB_57,220|_256GB_150원/1GB_38,340","_1TB_96원/1GB_96,200|512GB_112원/1GB_57,220|_256GB_150원/1GB_38,340","_1TB_96원/1GB_96,180|512GB_112원/1GB_57,220|_256GB_150원/1GB_38,340","_1TB_96원/1GB_96,090|_512GB_112원/1GB_57,220|256GB_150원/1GB_38,340","_1TB_96원/1GB_95,990|_512GB_112원/1GB_57,220|256GB_150원/1GB_38,340","_1TB_93원/1GB_92,500|_512GB_112원/1GB_57,220|256GB_150원/1GB_38,340","_1TB_92원/1GB_92,490|_512GB_112원/1GB_57,220|256GB_152원/1GB_39,000","_1TB_92원/1GB_92,490|_512GB_112원/1GB_57,220|256GB_180원/1GB_46,060","_1TB_92원/1GB_92,490|_512GB_112원/1GB_57,220|256GB_180원/1GB_46,060","_1TB_92원/1GB_92,440|_512GB_112원/1GB_57,220|256GB_180원/1GB_46,060","_1TB_92원/1GB_92,390|_512GB_112원/1GB_57,220|256GB_180원/1GB_46,060"
16778090,ADATA LEGEND 740 M.2 NVMe,"_1TB_108원/1GB_108,100|_500GB_143원/1GB_71,250","_1TB_108원/1GB_108,100|_500GB_143원/1GB_71,250","_1TB_108원/1GB_108,100|_500GB_143원/1GB_71,250","_1TB_108원/1GB_108,100|_500GB_143원/1GB_71,250","_1TB_108원/1GB_108,100|_500GB_143원/1GB_71,250","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000","_1TB_108원/1GB_108,100|_500GB_150원/1GB_75,000"
13167411,ADATA LEGEND 750 M.2 NVMe,"_1TB_137원/1GB_136,800|_500GB_152원/1GB_76,000","_1TB_137원/1GB_136,800|_500GB_152원/1GB_76,000","_1TB_137원/1GB_136,800|_500GB_152원/1GB_76,000","_1TB_137원/1GB_136,800|_500GB_152원/1GB_76,000","_1TB_137원/1GB_136,800|_500GB_152원/1GB_76,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000","_1TB_144원/1GB_144,000|_500GB_160원/1GB_80,000"
47841158,ADATA LEGEND 820 M.2 2230 NVMe 해외구매,"127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","127원/1GB_2TB_254,700","126원/1GB_2TB_251,870","126원/1GB_2TB_251,870","126원/1GB_2TB_251,870","126원/1GB_2TB_251,870","126원/1GB_2TB_251,870"
17287667,ADATA LEGEND 840 M.2 NVMe,"113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","105원/1GB_1TB_105,000","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800","113원/1GB_1TB_112,800"
1535058,ADATA S510,0,0,0,0,0,0,0,0,0,0,0,0,"92원/1GB_60GB_5,500","92원/1GB_60GB_5,500","92원/1GB_60GB_5,500"
