Id,Name,2022-12-01 10:56:28,2022-12-02 10:37:50,2022-12-03 10:27:27,2022-12-04 10:39:16,2022-12-05 10:37:53,2022-12-06 10:30:00,2022-12-07 10:41:05,2022-12-08 10:37:26,2022-12-09 10:40:33,2022-12-10 10:27:48,2022-12-11 10:45:18,2022-12-12 10:41:00,2022-12-13 10:43:37,2022-12-14 10:39:21,2022-12-15 10:41:39,2022-12-16 10:27:55,2022-12-17 10:25:14,2022-12-18 10:27:15,2022-12-19 10:25:23,2022-12-20 10:28:22,2022-12-21 10:25:25,2022-12-22 10:27:56,2022-12-23 10:26:46,2022-12-24 10:22:01,2022-12-25 10:31:04,2022-12-26 10:27:56,2022-12-27 10:26:51,2022-12-28 10:26:37,2022-12-29 10:29:38,2022-12-30 10:29:41,2022-12-31 10:26:28
15323429,+0asis Cool 600SB6P V2.3 벌크,"15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900","15,900"
15362705,+0asis Cool 700GP V2.3 벌크,"29,500","29,500","29,500","29,500","29,500",0,"29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500"
1842030,+PLUS ATX GT-5000S 벌크,"16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,130","16,130","16,130","16,140","16,130","16,130","16,130","16,130","16,130","16,130","16,130","16,130","16,140","16,140","16,130","16,130","16,130","16,130","16,130","16,130","16,130","16,040","16,020"
5240215,+PLUS ATX GT-6000S 벌크,"17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120",0,0,0,0
2760128,+PLUS ATX PLUS GT-5000L 벌크,"17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810"
12690218,3RSYS AK 500S 80PLUS STANDARD 230V EU,"45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","39,000","45,000"
12690239,3RSYS AK 600S 80PLUS STANDARD 230V EU,"52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990",0,"52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","52,990","42,000","52,990"
12690251,3RSYS AK 700S 80PLUS STANDARD 230V EU,"56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","58,850","58,850","58,840","55,000","58,840"
12838997,3RSYS AK 800S 80PLUS STANDARD 230V EU,"64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990","64,990"
17145116,3RSYS TEAMMOST TM 1000W 80PLUS BRONZE 230V EU,"104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500","104,500"
17144888,3RSYS TEAMMOST TM 750W 80PLUS BRONZE 230V EU,"64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500",0,"64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500","64,500"
17145053,3RSYS TEAMMOST TM 850W 80PLUS BRONZE 230V EU,"81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000",0,"81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000","81,000"
11576765,ADATA XPG CORE REACTOR 650W GOLD,0,0,"129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000",0,0,0,0,0,0,0,0,0,0,0,0,"129,000","129,000","129,000","129,000",0,0,0,0
11576855,ADATA XPG CORE REACTOR 750W GOLD,"129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000","129,000"
11576915,ADATA XPG CORE REACTOR 850W GOLD,일시품절,일시품절,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17750834,ADATA XPG PYLON 750W BRONZE,"62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","62,300","48,000","62,310","62,980","62,980","62,980","62,980","62,980","62,980","62,980","62,980","62,980","62,980"
4966324,ANDYSON MARS 650W BRONZE 모듈러,"90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090","90,090"
5425098,ANDYSON VENUS 700W +12V Single Rail,일시품절,일시품절,일시품절,일시품절,일시품절,0,일시품절,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012440,AONE 500K 벌크,"17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660",0,"17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660"
3212151,AONE 500MX V2,"19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000",0,"19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000"
2459011,AONE 500P KC,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000",0,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000"
3099419,AONE 500S KC,"16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740"
14759639,AONE 500S KC (벌크),"17,990","17,990","17,990","17,990","17,990",0,"17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990"
2459029,AONE 500VP KC,"23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000"
2687917,AONE 600P KC,"33,500","33,500","33,500","33,500","33,500",0,"33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500"
4963773,AONE 600P TURBO 벌크,"31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000",0,"31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000"
14076659,AONE 600S 벌크,"17,910","17,890","17,880","17,950","17,960","17,960","17,950","17,950","17,940","17,960","17,960","17,960",0,"17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960","17,960"
2932261,AONE 600T KC,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000",0,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
17135327,AONE BIT 1000W 80PLUS BRONZE 마이닝 벌크,"99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000"
14565368,AONE BIT 1800W 80PLUS BRONZE 마이닝 벌크,"155,000","155,000","155,000","155,000","155,000",0,"155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000"
15316934,AONE BIT 1800W EVO 80PLUS BRONZE 마이닝 벌크,"152,900","152,900",0,"152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900","152,900"
14224541,AONE BIT 800W 80PLUS BRONZE 마이닝 벌크,"67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500","67,500"
1989579,AONE CARE 500HP,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
3155499,AONE CARE 500HP KC,"30,690","30,690","30,690","30,690","30,690",0,"30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690","30,690"
2576754,AONE CARE Micro 500HP KC,"27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000","27,000"
2935745,AONE MICRO 500P KC,"26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000","26,000"
3033931,AONE MONSTER 600LA 80PLUS BRONZE,"67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790","67,790"
2615457,AONE Micro 450P-KC,"21,500","21,500","21,500","21,500","21,500",0,"21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500","21,500"
2950192,AONE Micro 450P-KC 벌크,"20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500"
18213719,AONE STORM 1000W 80PLUS BRONZE,"79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000","79,000"
17764373,AONE STORM 1000W 80PLUS BRONZE 벌크,"78,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000","89,000"
4962322,AONE STORM 350LF 더블포워드 V2.3 벌크,"29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000"
4852063,AONE STORM 400LF 더블포워드 V2.3,"34,500","34,500","34,500","34,500","34,500",0,"34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500","34,500"
4853055,AONE STORM 400LF 더블포워드 V2.3 벌크,"33,500","33,500","33,500","33,500","33,500",0,"33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500"
10373682,AONE STORM 500LF,"35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960",0,"35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960","35,960"
4801762,AONE STORM 500LF 더블포워드 V2.3,"35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000"
4879239,AONE STORM 500LF 더블포워드 V2.3 벌크,"34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000"
9978645,AONE STORM 500LF 벌크,"34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850",0,"34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850","34,850"
9431322,AONE STORM 500W 80PLUS BRONZE,"39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110",0,"39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110","39,110"
9431340,AONE STORM 500W 80PLUS BRONZE 벌크,"38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030",0,"38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030","38,030"
8856842,AONE STORM 500W 80PLUS STANDARD 벌크,"40,000","40,000","40,000","40,000","40,000",0,"40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000"
10373727,AONE STORM 600LF,"38,000","38,000","37,990","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000",0,"38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000"
5213968,AONE STORM 600LF A-PFC,"38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000"
5213975,AONE STORM 600LF A-PFC 벌크,"37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000"
9789456,AONE STORM 600LF 벌크,"37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000","37,000"
9431433,AONE STORM 600W 80PLUS BRONZE,"43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130",0,"43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130","43,130"
11412288,AONE STORM 600W 80PLUS BRONZE 벌크,"45,000","45,000","44,990","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000",0,"45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000"
11245893,AONE STORM 700K 80PLUS BRONZE,"58,000","58,000","58,000","58,000","58,000",0,"58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000","58,000"
9431586,AONE STORM 700K 80PLUS BRONZE 벌크,"54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000","54,000"
9431529,AONE STORM 700W 80PLUS BRONZE,"62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000","62,000"
12583295,AONE STORM 700W 80PLUS BRONZE 벌크,"57,000","57,000","56,990","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000",0,"57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000","57,000"
17146169,AONE STORM 750W 80PLUS BRONZE 벌크,"58,990","58,990","58,990","58,990","58,990","58,990","58,990","58,990","58,990","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000"
12723485,AONE STORM 800K 80PLUS BRONZE 벌크,"67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000"
9431634,AONE STORM 800W 80PLUS BRONZE,"65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,980","65,980","65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,990",0,"65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,990","65,990"
15207521,AONE STORM 800W 80PLUS BRONZE 벌크,"65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000",0,"65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","66,990","66,990","66,990","64,230","61,020","61,020","61,020","61,020"
2310854,AONE TFX 450P,"23,980","23,980","23,980","23,980","23,980",0,"23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980","23,980"
3099460,AONE TFX-450P KC,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000",0,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000"
2944698,AONE TFX-500P KC,"33,500","33,500","33,500","33,500","33,500",0,"33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500","33,500"
16079126,AONE 듀얼파워 커넥터 릴레이형,"4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,600","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650","4,650"
2435106,AONE 태왕 EP500 KC,"18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000",0,"18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000"
2509283,AONE 태왕 EP600 KC,"27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260",0,"27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260","27,260"
2451400,AONE 태왕 EP600L KC,"23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000",0,"23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000"
14814908,AONE 태왕 EP600L KC 벌크,"23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000",0,0,0,0,0,0
2511691,AONE 태왕 TFX-450T KC,"22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990",0,"22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990","22,990"
14082692,APC BACK-UPS 650 (BX650LI-GR),"120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000","120,000"
73075,APC BACK-UPS CS 500(BK500EI),"154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380","154,380"
1000768,APC BE400-KR,"146,000","146,000","146,000","146,000","146,000","146,000","146,000","146,000","146,000","146,000","146,000",0,0,0,0,"146,000","146,000","146,000","146,000","146,000",0,0,0,0,"146,000","146,000",0,"146,000",0,0,0
1004540,APC BE550-KR,"168,000","177,630","177,630","177,630","177,630",0,"177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630",0,"177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630","177,630"
913792,APC BE700KR,"214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920","214,920"
17529551,APC BV1000I-GR,"130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000"
16772696,APC BX1200MI-GR,"228,000","228,000","227,990","228,000","228,000",0,"228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","228,000","229,000","229,000","229,000","229,000","229,000","229,000","229,000","229,000","229,000"
16772720,APC BX1600MI-GR,"360,000","360,000","360,000","360,000","360,000",0,"360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000","360,000"
16772675,APC BX950MI-GR,"185,000","185,000","185,000","185,000","185,000",0,"185,000","185,000","185,000","180,320","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","185,000","184,990","185,000","185,000",0,"185,000"
2735563,APC RBC106 교체용 배터리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,000","70,000"
2734412,APC RBC17 교체용 배터리,"76,000","76,000","76,000","76,000","76,000","76,000","76,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"76,000","76,000","76,000","76,000","76,000","76,000",0,0,"76,000","76,000","76,000"
2734189,APC RBC2 교체용 배터리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,000","70,000","70,000","70,000"
2734125,APC RBC23 교체용 배터리,"439,000","439,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2736210,APC RBC55 교체용 배터리,"605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","615,000","615,000","615,000","615,000","615,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000","605,000",0,0,0,0
2734545,APC RBC7 교체용 배터리,0,0,"308,000","308,000","308,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"308,000","308,000",0,0,0,0
2722817,APC SMC 1000i (Smart-UPS C 1000i),"399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000","399,000"
2722850,APC SMC 1000i-2U (Smart-UPS C 1000i 2U),0,0,0,0,0,0,0,0,"508,000","508,000","508,000","508,000","508,000","508,000",0,0,0,0,0,0,0,0,0,0,0,0,"508,000","508,000","508,000","508,000","508,000"
2722877,APC SMC 1500i (Smart-UPS C 1500i),"526,990","526,990","526,990","526,990","526,990","526,990","526,990",0,"526,990","526,990","526,990","526,990","526,990","526,990","526,990","526,990","526,990","526,990","526,990","526,990","526,990",0,0,0,0,0,0,0,0,0,0
3270288,APC SMC 2000i-2U (Smart-UPS C 2000i-2U),"1,400,000","1,400,000","1,400,000","1,400,000","1,400,000",0,"1,400,000",0,"1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000","1,400,000",0,0,0,0
3270345,APC SMC 3000RMI-2U (Smart-UPS C 3000i-2U),"1,862,900","1,862,900","1,862,900","1,862,900","1,862,900",0,0,0,"1,862,900","1,862,900","1,862,900","1,862,900","1,862,900","1,862,900","1,862,900",0,0,0,0,0,0,"1,862,900","1,862,900","1,862,900","1,862,900","1,862,900","1,862,900","1,862,900",0,0,"1,862,900"
