productId,productName,productPrice
8459973,AMD 라이젠5-3세대 3600 (마티스),"199,400"
11308551,인텔 코어i5-10세대 10400 (코멧레이크S),"204,800"
8459829,AMD 라이젠7-3세대 3700X (마티스),"343,600"
11308485,인텔 코어i7-10세대 10700K (코멧레이크S),"463,900"
9686475,AMD 라이젠5-3세대 3500X (마티스),"165,900"
7059166,인텔 코어i5-9세대 9400F (커피레이크-R),"170,700"
7914736,인텔 코어i3-9세대 9100F (커피레이크-R),"82,000"
8460291,AMD 라이젠3-2세대 3200G (피카소),"103,200"
11236047,AMD 라이젠3-3세대 3100 (마티스),"127,000"
10176534,AMD 라이젠5-2세대 3400G (피카소),"167,880"
11405586,인텔 코어i7-10세대 10700 (코멧레이크S),"406,800"
11405337,인텔 코어i3-10세대 10100 (코멧레이크S),"139,500"
8457111,AMD 라이젠9-3세대 3900X (마티스),"555,400"
10002339,AMD 라이젠5-3세대 3500 (마티스),"151,400"
6515603,인텔 코어i7-9세대 9700K (커피레이크-R),"421,800"
11236053,AMD 라이젠3-3세대 3300X (마티스),"170,100"
8459925,AMD 라이젠5-3세대 3600X (마티스),"249,700"
11405469,인텔 코어i5-10세대 10600 (코멧레이크S),"254,900"
9968202,AMD 애슬론 3000G (레이븐 릿지),"60,800"
11305233,인텔 코어i9-10세대 10900K (코멧레이크S),"886,600"
9996480,AMD 라이젠9-3세대 3950X (마티스),"898,900"
8459781,AMD 라이젠7-3세대 3800X (마티스),"390,400"
6515580,인텔 코어i9-9세대 9900K (커피레이크-R),"574,700"
11405430,인텔 코어i5-10세대 10500 (코멧레이크S),"237,000"
11405664,인텔 코어i9-10세대 10900 (코멧레이크S),"576,000"
11430906,인텔 코어i5-10세대 10600K (코멧레이크S),"317,600"
11489973,인텔 코어i5-10세대 10400F (코멧레이크S),"208,000"
11593217,인텔 코어i7-10세대 10700KF (코멧레이크S),"473,900"
5884539,AMD 라이젠3-1세대 2200G (레이븐 릿지),"96,600"
7565248,인텔 코어i5-9세대 9600KF (커피레이크-R),"221,700"
11593289,인텔 코어i9-10세대 10900F (코멧레이크S),"558,700"
11593361,인텔 코어i9-10세대 10900KF (코멧레이크S),"886,000"
