productId,productName,productPrice
7741678,ASUS TUF B450M-PRO GAMING STCOM,"128,200"
9302775,MSI A320M-A PRO,"57,500"
7452148,ASUS EX A320M-GAMING 대원CTS,"76,500"
11407626,ASRock B460M PRO4 에즈윈,"116,600"
8938550,MSI MAG B450M 박격포 맥스,"104,000"
11399754,ASRock B460M PRO4 디앤디컴,"115,500"
6352473,ASRock B450M PRO4 에즈윈,"95,000"
10140399,GIGABYTE B450M AORUS ELITE 피씨디렉트,"100,100"
11397129,MSI MAG B460M 박격포,"138,200"
11193693,MSI MPG B450 게이밍 프로 카본 맥스 WIFI,"151,600"
11222736,ASUS TUF Gaming Z490-PLUS 코잇,"242,800"
6013975,MSI B360M 박격포,"99,300"
6948952,ASRock A320M-HDV R4.0 에즈윈,"63,200"
8542178,ASUS TUF Gaming X570-PLUS 대원CTS,"271,900"
11370792,ASUS TUF Gaming B460M-PLUS STCOM,"149,000"
6681823,MSI H310M PRO-VD PLUS,"65,000"
11224539,GIGABYTE Z490 AORUS ELITE 피씨디렉트,"260,200"
11224182,ASUS PRIME Z490M-PLUS 인텍앤컴퍼니,"200,300"
8778968,BIOSTAR H310MHP 이엠텍,"58,000"
11223801,ASUS PRIME Z490-P 아이보라,"216,900"
11408037,MSI MAG B460M 박격포 WIFI,"156,500"
11223594,MSI MPG Z490 게이밍 엣지 WIFI,"257,500"
6051885,ASUS EX A320M-GAMING STCOM,"75,600"
9302544,MSI MAG B365M 박격포,"95,100"
6122300,BIOSTAR A320MH 이엠텍,"50,900"
11319420,MSI MEG Z490 유니파이,"418,000"
8542250,ASUS ROG STRIX X570-F GAMING 대원CTS,"383,000"
11572991,ASRock B550M PRO4 에즈윈,"145,200"
6891964,ASRock B450M-HDV R4.0 에즈윈,"84,700"
7108366,ASUS PRIME B365M-A 코잇,"94,700"
8542142,ASUS PRIME X570-P/CSM 대원CTS,"225,400"
6464259,GIGABYTE H310M DS2V 2.0 듀러블에디션 피씨디렉트,"68,000"
7167988,ASRock B365M PRO4 에즈윈,"95,800"
